Country_Code,Year,Current_Account_Balance_Pct_GDP,FDI_Net_Inflows_Pct_GDP,Energy_Intensity_Primary_MJ_Per_GDP,Renewable_Electricity_Output_Pct,Renewable_Electricity_NoHydro_Pct,Renewable_Energy_Consumption_Pct,Energy_Imports_Net_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_GDP_PPP,Electric_Power_Consumption_Per_Capita,Energy_Use_Per_Capita_KgOE,Domestic_Credit_Private_Pct_GDP,Broad_Money_Pct_GDP,Broad_Money_Growth_Pct,CPI_Index,Inflation_CPI_Pct,Real_Interest_Rate_Pct,Central_Gov_Debt_Pct_GDP,Tax_Revenue_Pct_GDP,Gov_Expenditure_Pct_GDP,Exports_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Imports_Pct_GDP,Trade_Pct_GDP,Agriculture_Value_Added_Pct_GDP,Manufacturing_Value_Added_Pct_GDP,Industry_Value_Added_Pct_GDP,GDP_Deflator_Growth_Pct,GDP_Growth_Pct,GDP_Total_PPP,GDP_Per_Capita_PPP,Official_Exchange_Rate_LCU_Per_USD,Real_Effective_Exchange_Rate_Index,Gini_Index,Unemployment_Rate_Pct,Population_Total,Urban_Population_Pct,Fuel_Imports_Pct_Merchandise
CHL,2020,-1.94941123362021,4.50610139661101,3.68,48.783065255438,22.7416094198326,26.7,66.7182391849769,8.76,0.0,74.1437810047778,4166.72173286725,1946.16760616995,88.2523738759963,93.4804492996846,14.065633467554,135.93098258439,3.04549084804326,,,16.1961693313326,16.0263618695537,31.3303902428612,22.5660080465409,26.8524733201136,58.1828635629748,4.04542684409947,8.99628171941755,29.8295676046618,9.66572269693961,-6.14347479224092,508451018132.847,26248.5616432825,792.727206103169,84.6076165903281,47.0,10.934,19370624.0,88.2953490438375,12.9406269554086
CHL,2021,-7.28208296226132,4.81308998117864,3.46,48.0821990956395,26.1014678815697,24.2,68.8632430428331,9.12,0.0,69.8862720895816,4306.7208858565,2032.98120427379,81.0285331549083,93.7352842774039,19.2852459032946,142.08127284455,4.52456838259144,,,19.6762203580828,14.7373122384899,31.9927952679237,23.3256236274779,32.8846110558597,64.8774063237834,3.50586436813615,8.53055034005302,30.860053303873,6.86882637051349,11.3149204879049,565981846554.521,29089.850459728,758.955378658977,87.496171490262,,9.281,19456334.0,88.4660511664452,15.1897359873448
CHL,2022,-8.84931514465226,6.2318507042491,3.19,,,,66.2732116154234,10.64,0.0,71.8544478346036,4422.43342670673,2124.6984823137,82.853489471982,88.544049541403,3.79180342377034,158.625026875941,11.643866711056,,,21.3364673205925,14.7249541091785,35.6066282723137,25.6432104842936,39.5949894702167,75.2016177425303,3.23467925849162,9.47546946435641,31.0330474006021,7.5601573866271,2.15399356192458,578173059090.967,29569.4775527937,873.314189543014,84.557304596244,43.0,8.249,19553036.0,88.6395352768685,22.4295897756234
CHL,2023,-3.12862449043213,5.47730938390937,,,,,62.2762043204213,12.02,0.0,68.98159599271,4322.99269005513,2039.34969353537,79.8988475235126,84.7995001322464,2.612362094973,170.651472801548,7.58168251407962,,,17.7194011337982,15.299339236854,30.8110620735322,24.2438038833976,29.9136616139086,60.7247236874408,3.49022733362425,9.40633654861343,28.8030257311404,6.58777169908957,0.521367977246825,581187468274.136,29563.6780243659,840.066526651499,91.9514998658835,,9.013,19658835.0,88.8158617217972,21.006198864515
CHN,2000,1.67667411710879,3.43984725315719,10.91,16.6391375029689,0.233755342108874,29.6,2.45807505926914,2.26,79.922462606017,220.872354496569,992.943384720171,898.07500446721,109.886100489001,134.204035985099,12.3247819807429,80.9700222903011,0.347811226864587,3.67308868578273,,,16.9834545142268,20.681599363293,32.6471790154044,18.3293431142068,39.0109424774998,14.5272519499825,,45.0738315177586,2.09978437202267,8.58643201808462,5133960366384.9,4066.03627019859,8.27850416666666,92.7578315228036,,3.26,1262645000.0,36.4320234662299,9.46701532537761
CHN,2001,1.28417196444636,3.47245235578959,10.41,18.9581214478014,0.224728197932542,28.4,0.0954125824372545,2.63,80.8331458521972,210.767002351284,1076.54912135865,921.506436459842,108.600447763989,139.457645645892,15.042413505773,81.552298456301,0.719125609120114,3.55921916796861,,,16.56557352932,20.0776873829946,33.4598817910203,18.0049595688389,38.0826469518334,13.8221069560341,,44.276543602601,2.21204915451887,8.31263887091522,5560727951418.39,4372.15705579934,8.27706833333333,96.7667351019651,,3.8,1271850000.0,37.6597442626953,7.43619298182143
CHN,2002,2.37759984341841,3.56241418263928,10.14,17.6186164128829,0.209580791263744,27.0,1.55077393655025,2.73,81.9217928499847,205.749859827251,1194.85629490784,976.159336791292,115.811734309503,143.510188392199,13.1404362825777,80.955359361403,-0.731970902350244,4.6374989735253,,,16.2233328656845,22.3518233715808,34.9878641071948,19.8426189671605,42.1944423387413,13.1294938258189,,43.8758028122184,0.642696005802719,9.24339326638321,6074727904441.69,4744.39855079794,8.2769575,94.5604928140543,42.0,4.24,1280400000.0,39.0897827148438,6.880289255281
CHN,2003,2.55665409110255,3.43849537731211,10.51,15.0371010412115,0.190561322618546,23.9,2.81787719089625,2.74,84.2309775025242,212.853647348518,1379.48463210183,1105.13742396493,123.760461710766,151.396834348204,19.2397666568681,81.8682148167155,1.12760348729637,2.59864630092319,,,15.4631349581316,26.6023738514511,38.0846809344133,24.4751062787292,51.0774801301803,12.1757600914927,,44.9827621327146,2.64267979825424,10.1181928640117,6689380589777.04,5192.00604608587,8.27703666666667,88.3829810668078,,4.58,1288400000.0,40.5302314758301,7.52757140792314
CHN,2004,3.47450259619584,3.43299015092913,10.87,16.2232487195383,0.178607053680913,20.2,5.80570745907935,2.92,86.0923723329147,219.740864956329,1585.83878247787,1249.04415339994,116.828196166305,147.615589302677,14.8869201406815,84.9993772047539,3.82463743108159,-1.31805746144017,,,14.7768955354751,30.6097162464404,39.3505370582361,28.0306177944035,58.6403340408439,12.7288429360401,31.5101594673259,45.2328326582556,6.99019221145223,10.1314073631003,7367108987395.51,5684.16873050981,8.27680083333333,85.8505397612065,,4.49,1296075000.0,41.7600135803223,9.18218994831712
CHN,2005,5.71199843031159,4.49218509012467,10.75,16.1592699120884,0.281549519169627,17.4,5.60861584629628,2.94,87.3709947582302,217.485183122104,1782.31215291627,1369.79197119649,110.283274752182,149.026378631702,16.741652395309,86.5093181065058,1.77641407667571,1.76511318953532,,8.45243795005463,14.9800297513263,33.3687977498922,39.2703289759488,27.9912771909315,61.3600749408237,11.4828123533826,31.6564574964127,46.3816216984585,3.74871769990521,11.458238455067,8211249902415.96,6298.32318474516,8.19431666666667,84.9196015607044,40.9,4.52,1303720000.0,42.9899978637695,10.5722384608746
