Country_Code,Year,FDI_Net_Inflows_Pct_GDP,Energy_Intensity,Renewable_Electricity_Output_Pct,Renewable_Energy_Consumption_Pct,Net_Energy_Imports_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_Capita,Broad_Money_Pct_GDP,CPI_Inflation,Domestic_Credit_Pct_GDP,Gov_Expenditure_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Trade_Pct_GDP,GDP_Growth,GDP_Per_Capita
GRC,2002,0.0227485404811931,3.49,7.76461324348081,7.3,81.0854885329495,1.62,93.8600266363724,2603.6056227148,,3.62935871878873,,19.7788964081303,23.875854552048,50.0533371904633,4.68313727063017,19548.3677447396
GRC,2003,0.71501703822218,3.4,11.0449624600229,7.6,76.4057944941676,2.28,93.7674650901746,2672.75982215817,,3.53065027765552,,19.4825367880777,24.8780068243839,47.8943121550822,5.79682274294369,20632.2557041942
GRC,2004,0.914091172780157,3.3,10.8695278536043,7.8,82.0243063745665,2.3,93.5722400188684,2717.47100440097,,2.89884810758171,,19.6428208434707,25.0449225325719,49.825317672568,5.37786634595851,21688.1050959558
GRC,2005,0.284127006962334,3.34,11.6626124625125,8.0,76.3429277475754,2.36,93.2203134477544,2758.67496021751,,3.54507273335077,,20.4795823716794,21.3568870584015,50.3555334391407,1.18350635493289,21880.5265835801
GRC,2006,2.01112523714783,3.16,13.6366612380529,8.5,80.8432393562162,2.77,92.6808393896466,2748.70086926019,,3.19594684144545,,20.4905653377788,24.0565849914051,51.1047465834807,6.44339762487436,23220.5324419197
GRC,2007,0.622837777539062,3.05,8.47272269119315,8.1,80.6025864165749,1.92,92.9326086541332,2737.50471822283,,2.89500321516578,,20.8256340521222,25.5308773380251,54.5256818189044,3.50686976639459,23973.6936091313
GRC,2008,1.6328960526629,3.08,10.333542486941,8.3,82.6111229159919,2.33,92.6355471207879,2749.77926334315,,4.15279708110293,,21.0036498022038,23.2806962442851,57.1052836264926,0.0574740238200775,23923.8800731311
GRC,2009,0.846404808815716,3.12,13.7459732637757,9.2,75.2206016954779,3.19,92.1905329033872,2654.84323438585,,1.21007269197809,,23.6284806116531,20.438446980754,46.3779593986083,-4.11927606715011,22878.1346644397
GRC,2010,0.179789223267027,3.1,18.3954707778068,11.4,76.9932416098575,4.15,90.1886980512198,2487.52918925294,,4.71298907760393,,22.4102559565882,16.8200572069043,50.9225173052303,-5.6937412158003,21547.724178239
GRC,2011,0.385622565634744,3.34,14.1459048388182,11.4,73.1050157089062,3.51,90.6497138980801,2413.16129816794,,3.32985323350645,,22.0783071279586,13.8655955400985,56.2929962856516,-9.87677875300243,19448.255802525
GRC,2012,0.695897838082299,3.57,16.9602355681688,14.2,73.0863184506148,4.18,89.9414482657562,2408.75576544664,,1.50152696177755,,22.557839474738,12.2795312839599,62.3942789758861,-8.33113421099992,17924.6620496886
GRC,2013,1.24506178790059,3.22,25.1734497480403,16.6,69.1390083334951,6.3,87.790124791457,2133.12835852595,,-0.921269454256931,,20.9297924686921,11.5362301011246,62.9547463104465,-2.27211699888024,17644.8766635021
GRC,2014,1.15314480305525,3.17,24.3841185560883,16.4,72.9934014680342,5.58,85.8514763736282,2128.79231677777,,-1.3122609640551,,20.7227080595732,11.233781428641,66.4335682565667,0.792225060962835,17903.5252440012
GRC,2015,0.652184629866422,3.19,28.7272622122836,17.5,79.0743652188211,6.57,83.8825769351693,2148.04707916151,,-1.73588804765284,,20.7679837462522,11.1610941969144,65.2718011391214,-0.228301892172851,17980.7298238137
GRC,2016,1.3975055397238,3.13,27.3986920900841,16.4,81.3830379677673,6.74,0.0,2109.41656684289,,-0.825653978390973,,20.6180603140124,11.3684708155605,63.6576625890375,-0.0317947678412054,18049.928997892
GRC,2017,1.7162955046024,3.15,25.1118409148482,16.4,81.8522814918663,6.23,0.0,2148.0515638287,,1.1212545203142,,20.4384126534599,12.0492834143889,70.8826066741577,1.47312472702352,18352.0884461258
GRC,2018,1.88723349665643,3.01,30.3497427809695,17.9,82.0229123086558,7.35,0.0,2089.36044213673,,0.625621413453609,,19.6597104516787,11.3310526081969,79.2381636063709,2.06467207892409,18769.0389621976
GRC,2019,2.41172201156201,2.91,33.2085098506972,18.5,87.4989989849166,7.46,0.0,2058.5433840771,,0.253007522038191,,19.9791204523634,10.97046317576,80.590100891173,2.27718065334808,19216.6759579785
GRC,2020,1.72637818314203,2.85,36.5812314770678,20.1,91.2123161318513,8.99,0.0,1839.48818892263,,-1.24798355581408,,22.7274940590434,12.2998658740322,70.2937864486395,-9.19623149726978,17486.951333323
GRC,2021,2.8091475435209,2.71,40.5640135246276,21.5,84.5570729381142,10.66,0.0,1924.00171997177,,1.22382501019854,,21.4974385558012,13.7915466530779,88.0126627401059,8.65449786002131,19232.9683327114
GRC,2022,3.6311990288799,2.58,,,92.9081404835987,10.81,0.0,1957.79872050503,,9.64525981280638,,19.9856875626536,14.93474716422,107.679207902405,5.74364902526337,20595.4952639016
GRC,2023,1.93926040548242,,,,89.2460562263153,12.22,0.0,1875.27390100706,,3.46480128513402,,19.2868439733478,15.1654549262849,92.1562900262242,2.33212444945818,21139.1917042145
IDN,2000,-2.75743993350903,5.5,21.0016394320922,45.6,-64.2403633124196,7.3,76.1856536311886,585.786495774263,53.882681212192,3.68862037056682,,6.53199497269296,19.8508544472002,71.4368759173731,4.9200677470169,1828.10265968361
IDN,2001,-1.85568619300523,5.43,21.9326940170265,44.3,-63.3523233370869,8.78,75.5969247991414,591.12494475388,50.8855192605092,11.5001160550887,,6.8890593699167,19.6726582041666,69.7932075256238,3.64346644721492,1868.59172307292
IDN,2002,0.0741516383181159,5.38,19.4262454143064,44.7,-61.2996884615853,8.6,76.749784323962,606.322305750967,48.1711623796117,11.9001200338414,,7.25745833839691,19.4291640497973,59.0794617663723,4.49947539085764,1926.37435868149
IDN,2003,-0.254256320381005,5.15,17.5550392125622,43.0,-66.008075034348,8.63,76.9738488136914,597.275615070065,47.0413453097139,6.75731256333563,,8.12948626357009,19.5060592212863,53.6164937473016,4.78036912167654,1991.91820506473
IDN,2004,0.738243979887563,5.22,17.4691460765793,41.5,-60.8384444911096,8.49,78.5253356984644,634.752388297531,45.0328853927183,6.06406189133647,,8.32186800551366,22.4486169728353,59.761294836691,5.03087394501685,2065.70617470842
IDN,2005,2.91611483313067,5.02,17.7843235656204,41.6,-67.8765492820002,8.35,79.4076809996555,637.329758271386,43.3540151492028,10.4532001873347,,8.10950772075692,23.6405117707791,63.9879358688635,5.69257130383384,2155.4478015921
IDN,2006,1.34794264068931,4.86,15.9337877239389,40.1,-86.1235398993709,8.15,79.6418004317631,643.624656628862,41.4017227442561,13.108670985346,,8.62716880197776,24.1309915286004,56.6571268148867,5.50095178520348,2244.0802226202
IDN,2007,1.6030105718879,4.55,17.1079767289713,40.0,-90.7961529492001,8.75,79.36813335575,628.600516176574,41.7541476720251,6.40656087966005,,8.34646967931201,24.9469436430223,54.8292499782075,6.34502222667214,2355.1528565328
IDN,2008,1.82632902403998,4.31,17.6652893668886,41.1,-90.4267498347048,10.06,78.4457999612242,632.507070175417,38.3099210918693,10.2266663272483,,8.42378092010217,27.6985912220923,58.5613996312961,6.01370360009123,2464.60193418272
IDN,2009,0.90391941965406,4.35,17.123464349956,38.2,-92.4269662627062,10.33,80.5786967611829,674.894542379565,38.1966839102142,4.38641311792073,36.9663867888269,9.58917814654342,31.1147665576043,45.5121213687054,4.62887118256153,2546.21969707767
IDN,2010,2.02517914569356,4.26,19.5994746504731,36.0,-103.509561901494,10.67,86.4289259899708,669.112078931141,36.0017184238458,5.13420639015885,34.1824385106985,9.00591499311107,30.999408825566,46.7012738758737,6.22385418062366,2670.8129098953
IDN,2011,2.30298429381592,4.1,16.0083592484018,32.4,-131.576603738043,10.36,80.4494057173061,664.807893671477,36.7380019918479,5.35604849112584,36.550140252786,9.05867718048359,31.3074540365725,50.1800131841104,6.16978420771008,2799.62468790318
IDN,2012,2.30978031853073,3.84,15.0475301495417,30.1,-130.298256846713,10.06,80.5468356422125,680.546536439194,38.3892882677716,4.27951426919427,40.7680328726521,9.24878837149533,32.7196280650271,49.5828982992627,6.03005065305615,2930.518445323
IDN,2013,2.55135633401058,3.53,15.912612809934,30.6,-134.045158259873,9.91,79.6993173511336,696.192807739943,39.0754741372861,6.41249457900392,43.4292637347276,9.51771996272418,31.9657795676889,48.6373726752893,5.5572636889101,3055.24246006469
IDN,2014,2.81997260412102,3.48,14.5086391000202,29.3,-122.689418915783,10.18,81.7023114546128,704.653772045539,39.4838502418518,6.39492882396561,43.4238447014359,9.4250257185865,32.5167414405102,48.0801755855227,5.006668425755,3170.72103011429
IDN,2015,2.29761639380441,3.26,13.6593504639543,26.6,-109.271486079706,10.09,54.7548702495725,698.660737586188,39.4644200518208,6.36312061196643,46.7740662515085,9.74941376966575,32.8119265823923,41.9376402415294,4.87632230022123,3288.22269725538
IDN,2016,0.487372471368879,3.18,15.1437457097094,27.8,-106.48517951201,10.48,0.0,718.57953489745,40.3570904370193,3.52580452815451,47.9556737688496,9.52781009028137,32.5777314966023,37.4213418023318,5.03306918280177,3416.81005170972
IDN,2017,2.01948919812582,3.14,15.7714127577141,25.2,-100.401414525223,11.66,0.0,755.351304203294,39.8766339278733,3.80879857691949,46.9639357186983,9.12057115207813,32.1606388642645,39.3554970704606,5.06978590134916,3553.51999262321
IDN,2018,1.81428979349441,3.24,15.5999106611078,22.0,-98.0132758893818,11.66,0.0,826.038659966956,38.8175814421371,3.19834755924998,47.2318282755401,9.02123180420785,32.2884970895694,43.0743089552002,5.17429153955024,3701.32155461912
IDN,2019,2.23336204282241,3.19,14.5841228957778,19.8,-99.1816488656438,11.35,0.0,844.870039441295,38.760243844744,3.03058460941658,47.12942183178,8.80847129067065,32.3468845518546,37.6277775357108,5.01928768046282,3850.90321738979
IDN,2020,1.81058402027127,3.11,15.8206622268759,21.9,-86.9479731245526,12.4,0.0,848.436766186593,44.7178744674807,1.91983527270797,53.6943526286924,9.65575053126545,31.7097564518015,32.9721754002427,-2.06551182934165,3739.44906563161
IDN,2021,1.7878556314554,3.04,15.5300398228856,20.2,-84.9370547688609,11.89,0.0,896.813534898965,46.3601820363569,1.56007882983335,54.3146304560427,9.24694161503832,30.7941950585175,40.2047582749671,3.70288562827751,3850.68877253903
IDN,2022,1.87264100861425,,,,-82.9192756077432,11.75,0.0,953.65392850686,43.5359510135993,4.20946463714783,51.1292805485673,7.68965394773072,29.0848755291885,45.4646701959453,5.30719722664799,4024.91225288391
IDN,2023,1.57116694173474,,,,-89.548816280588,11.51,0.0,976.949985543796,42.2476727248499,3.6693865485976,50.3701514239378,7.45486118997106,29.152666728683,41.3362868707652,5.04902331835997,4192.65167890692
IND,2000,0.765211694280817,7.01,14.0401258332442,46.9,21.8848024647478,2.63,67.251600486733,394.916803104241,54.6451291831448,4.00943591045191,,11.9478354691139,26.0217848451461,26.9009229104474,3.84099115659129,756.704109527449
IND,2001,1.05638020993358,6.78,13.6197629481384,47.1,21.6071184549194,2.75,67.1290170686448,393.38088619861,57.7390677682671,3.77929312235638,,11.7614498890899,29.9323096392457,25.9932547534365,4.82396626555771,778.507377528365
IND,2002,1.01156946489919,6.71,12.8005809834912,45.8,22.1969266729062,2.59,67.936664276446,397.344252941148,62.6195245160236,4.29715203929563,,11.3140950692424,28.3325248092936,29.5086629350614,3.80397532112175,793.615912906381
IND,2003,0.605887857091792,6.37,11.5191856915079,45.6,22.3528918245213,2.68,68.1654620036029,399.699897139001,63.1792536038838,3.8058589952885,,10.8762099129119,28.3348257062433,30.592436132908,7.8603814759073,841.278894571674
IND,2004,0.765596855110284,6.24,12.8708458297682,44.9,23.0511620657529,2.69,69.0182873531346,415.47995649887,64.6357080581913,3.76725173477515,,10.4047023481415,30.7081414238993,37.503814059447,7.92293661199932,892.596614581612
IND,2005,0.886098378458821,5.94,14.3659113976406,44.2,24.7403711279846,2.94,69.3475084968063,425.369642526643,65.5481218951747,4.24634362031923,,10.3661401972455,32.7553370362813,42.0016696148691,7.92343062148318,947.732565646672
IND,2006,2.13016842534495,5.74,15.9724580053981,43.2,26.0473139148163,3.13,70.043890715119,441.785886693878,68.0630217874844,5.79652337561633,,9.80247046783494,33.5848915769349,45.7244804992652,8.06073257166651,1008.23275343783
IND,2007,2.07339404668754,5.54,16.8958319059597,41.5,27.0601259049498,3.03,70.9531749565034,461.201738250187,72.2804239219053,6.37288135593232,,9.86211572842642,35.8128781215224,45.686268679348,7.6608150670107,1069.24696813025
IND,2008,3.62052323540171,5.63,17.1072579022733,39.4,28.4555744181546,2.66,71.4399671029214,481.553027437162,77.3729561105341,8.34926704907581,,10.5384811563533,34.7179593535669,53.3682204392226,3.08669805921981,1086.50605251513
IND,2009,2.65159033235479,5.67,15.3504789989236,37.4,29.3426479119283,2.63,75.572444969932,509.446000134302,79.0751963448471,10.8823529411764,,11.459667419691,33.9516269299674,46.2728696428837,7.86188883286074,1155.10163274172
IND,2010,1.6350340943491,5.41,14.9419430950586,36.2,30.2219214810602,2.96,74.8456936081965,531.86706609011,77.67995244357,11.9893899204244,,11.0076078674499,33.2300146665612,49.2552064974161,8.49758470221235,1235.15939133951
IND,2011,2.0020634629993,5.28,15.306114125047,35.0,31.1609590704357,3.37,74.91097352691,546.675890208969,78.8373112865613,8.9117933648337,,11.0844615855594,34.3134166469557,55.6238800135298,5.24131619937695,1281.61054354933
IND,2012,1.31293453035323,5.28,16.2449871875852,34.8,32.8228389038316,3.1,75.0747477888592,572.133085479526,76.9131885205749,9.47899691419798,,10.6838562318127,33.4369343256634,55.7937217287511,5.45638755166587,1333.09626557668
IND,2013,1.5162764665975,5.11,15.2987635527139,34.9,34.024000893281,3.39,74.981867206836,577.254621645988,78.1821717320597,10.0178784746103,,10.2951601419598,31.2958008477695,53.8441319466777,6.38610640094825,1399.4537980287
IND,2014,1.69565958990806,5.08,15.8631842012333,33.9,36.5423025911346,3.24,75.7857287344087,610.165371779455,77.8993537588766,6.66565671867896,,10.4408568081213,30.0802370588503,48.9221857470669,7.41022760508854,1484.31640682913
IND,2015,2.09211521443253,4.82,14.8948527456761,33.4,37.2827822095164,3.15,45.956629150643,622.339883988149,78.0119105841633,4.9069734412726,,10.4282907091862,28.7331441287317,41.9229138658647,7.99625378571471,1583.99815907985
IND,2016,1.9373641224439,4.54,13.5971725653557,33.0,37.3874186548518,3.35,0.0,627.273531026365,74.5492653519617,4.94821634062135,,10.3085480747222,28.1884378846659,40.082485713276,8.25630550179086,1694.46534973825
IND,2017,1.50731583255894,4.46,14.1593786090421,32.5,37.4713105330607,3.41,0.0,648.014718317903,74.1441893624702,3.328173374613,,10.7671989547856,28.1778136155632,40.7424969545225,6.79538341897911,1788.69770318446
IND,2018,1.55821483801455,4.41,15.0102597827208,32.9,37.5843467719926,3.59,0.0,668.303370218852,74.097824604711,3.93882646691633,,10.8232185258548,29.4630681512508,43.6169693323889,6.45385134497769,1883.35772705062
IND,2019,1.78482633957161,4.25,16.8275232132522,33.5,39.2996982985914,4.16,0.0,666.977347524506,76.98188096813,3.72950573539127,,11.0026755133718,28.4545443348195,39.9054035306442,3.87143694070356,1936.03067741067
IND,2020,2.40620322673636,4.25,19.7557474948152,36.1,37.481252772155,4.22,0.0,632.239828540427,87.6766726830318,6.62343677628536,,11.6124524106018,27.3243213738562,37.7581053292768,-5.77772470686801,1806.50110583878
IND,2021,1.41217101040888,4.21,19.131292447169,34.9,35.0355799640062,4.24,0.0,676.814293488143,82.1020348312414,5.13140747176368,,10.4763782400684,29.5780345158487,45.4230887840446,9.68959249192875,1965.30943437506
IND,2022,1.49248825904,,,,36.529412379469,4.25,0.0,727.902200094024,,6.69903414079849,,10.255037910793,31.2230944361164,50.0752701498882,7.60936497768895,2098.2112447615
IND,2023,0.771919134264091,,,,36.0871843474496,4.12,0.0,754.179577921116,,5.64914318907929,,10.3054222433801,30.4260455714275,44.9928422877561,9.19075493028345,2270.9051808027
ITA,2000,1.14581409094162,2.92,20.8138489956297,5.1,88.8679040891303,4.73,91.7213086333747,3012.48356350836,,2.53768532095001,,17.6899799974967,21.2257586739508,50.2747311455639,3.88209885062652,32609.66746283
ITA,2001,1.26941636801649,2.87,22.0289920002294,5.4,85.4335353165297,4.78,91.394792901625,3020.75373063924,,2.78516542713554,,18.3367541043712,21.191892455513,49.8632723203495,2.00643329837733,33243.599343976
ITA,2002,1.34499006490549,2.88,19.6507978238618,5.6,87.9148588781137,4.48,91.0271395679261,3035.91851152815,,2.46532319171166,,18.4739860052468,21.81208675062,47.8713186791542,0.26992966378873,33267.4474482048
ITA,2003,1.23649728851371,3.02,18.5354663744879,6.2,85.3649353296641,4.46,90.2068333492971,3164.10814422149,,2.67255552772849,,18.9117941725871,21.2842346571997,45.9940859777074,0.0665538088732092,33110.1698494812
ITA,2004,1.10881762156492,2.99,20.2534259445454,5.9,86.7924296664505,4.76,90.3967244779413,3162.43494730256,,2.20673661423658,,19.0931359128263,21.3598020854476,47.2663923891771,1.4740217064723,33348.9744820456
ITA,2005,1.9711754818286,3.03,18.2074850427562,6.7,85.7235768898601,4.36,89.7913694468965,3204.1351997897,,1.9852929852798,,19.5433431498437,21.6734394073244,49.1221742288618,0.762410677306491,33407.6754716472
ITA,2006,2.91006549515942,2.95,18.1659869922737,7.5,88.4757014724615,4.57,89.1808272808267,3162.24131154867,,2.09084391012754,,19.3941241808101,21.9242418666958,52.9235429597012,1.79947992234244,33873.0493680093
ITA,2007,2.9684958153757,2.89,17.006690305747,8.7,85.6775303732499,4.47,88.1728336234335,3132.89653716264,,1.82974112202403,,18.9469848114449,21.9944755997434,54.8280415572531,1.46229205289291,34159.9109244074
ITA,2008,-0.393031898243064,2.88,19.9805533795005,10.8,85.491305751847,4.98,86.8313842118204,3067.89962633863,,3.34783258401022,,19.4883090708703,21.562045770846,54.2142548956671,-1.02313851177097,33550.6340800063
ITA,2009,0.751632233908177,2.84,25.1354194075294,12.5,83.3030445890869,5.74,84.8408523582119,2848.10100531328,,0.774768131387376,,20.5892052227792,20.3159597572588,45.1414765721604,-5.30515401233991,31587.0638416305
ITA,2010,0.462974196548407,2.86,26.5708511138405,12.8,85.4618786500618,5.9,84.6193782902182,2904.35856014464,,1.52551602118248,,20.4683139046718,20.2386645229593,51.6621118138339,1.52910573247101,31928.5543621096
ITA,2011,1.49396922230512,2.75,28.058229036192,11.9,84.1225458006764,6.47,84.4546593692901,2798.23628262725,,2.78063272879327,,19.7131321083587,19.9088467204091,54.4722149449288,0.695463154440176,32039.5032494316
ITA,2012,0.00166359418160288,2.72,31.4795423637633,14.4,81.8390323727707,7.12,82.1863077399564,2680.46208450702,,3.04136333226773,,19.7044703023489,18.4823918939236,54.8844952702204,-3.12523877282996,30953.4147447427
ITA,2013,0.907076904789878,2.67,39.3087237669337,16.3,79.2945394918256,8.28,79.9548600048126,2576.45615324387,,1.21999342274302,,19.7032469855095,17.3118980803026,54.0341846317499,-1.81802510749792,30330.0221599668
ITA,2014,0.783743281747353,2.52,43.7427339034475,17.1,78.3881613742621,9.31,78.5887352149793,2433.16257781775,,0.241047429826794,,19.437905453041,16.8397294480548,54.4545299332032,-0.00138761730454462,30325.0287793923
ITA,2015,0.720886367724088,2.6,38.993960981367,16.6,79.5879551148895,8.41,78.9818167175667,2533.02354460955,,0.0387903996579146,,19.0193134916677,17.0809179970368,55.4356858148221,0.885667635240807,30639.8829751432
ITA,2016,1.35957350873308,2.54,37.9132682465567,16.1,80.4850506548451,8.51,0.0,2511.46353090755,,-0.094016656915686,,18.9253442826016,17.2934651927051,54.4321467018313,1.23622108511661,31077.6792675211
ITA,2017,0.44334154868577,2.54,35.7422506169084,16.4,81.1780064494272,8.11,0.0,2557.32535513975,,1.22653316645805,,18.7448158290116,17.5794629155864,57.5829940274911,1.60369995294101,31635.52277108
ITA,2018,2.10769610409512,2.47,40.0899112209535,17.1,80.9707217224841,8.84,0.0,2503.3498604998,,1.13748763600396,,18.8133907214108,17.9722011780771,59.2749835128154,0.826646712344115,31819.3971830067
