Country_Code,Year,Current_Account_Balance_Pct_GDP,FDI_Net_Inflows_Pct_GDP,Energy_Intensity_Primary_MJ_Per_GDP,Renewable_Electricity_Output_Pct,Renewable_Electricity_NoHydro_Pct,Renewable_Energy_Consumption_Pct,Energy_Imports_Net_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_GDP_PPP,Electric_Power_Consumption_Per_Capita,Energy_Use_Per_Capita_KgOE,Domestic_Credit_Private_Pct_GDP,Broad_Money_Pct_GDP,Broad_Money_Growth_Pct,CPI_Index,Inflation_CPI_Pct,Real_Interest_Rate_Pct,Central_Gov_Debt_Pct_GDP,Tax_Revenue_Pct_GDP,Gov_Expenditure_Pct_GDP,Exports_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Imports_Pct_GDP,Trade_Pct_GDP,Agriculture_Value_Added_Pct_GDP,Manufacturing_Value_Added_Pct_GDP,Industry_Value_Added_Pct_GDP,GDP_Deflator_Growth_Pct,GDP_Growth_Pct,GDP_Total_PPP,GDP_Per_Capita_PPP,Official_Exchange_Rate_LCU_Per_USD,Real_Effective_Exchange_Rate_Index,Gini_Index,Unemployment_Rate_Pct,Population_Total,Urban_Population_Pct,Fuel_Imports_Pct_Merchandise,Green_Transition_Speed,Modern_Renewables_Growth,Fossil_Reduction_Rate,Energy_Vulnerability_Index,Fuel_Import_Exposure,Is_Energy_Importer,Log_GDP_Per_Capita,Inflation_Volatility_3Y,GDP_Growth_Volatility_3Y,REER_Change,CA_Deficit_Dummy,Renewable_Energy_Consumption_Pct_Lag1,Renewable_Energy_Consumption_Pct_Lag2,Energy_Imports_Net_Pct_Lag1,Energy_Imports_Net_Pct_Lag2,Broad_Money_Growth_Pct_Lag1,Broad_Money_Growth_Pct_Lag2,Green_Transition_Speed_Lag1,Green_Transition_Speed_Lag2,Period,Post_2020,Country_Group,Is_Turkey,Is_Green_Leader,Is_Turkey_Peer,Green_X_Importer,Green_X_Development,Green_X_Post2020
SWE,2000,4.44605675274443,8.67916615378573,5.46,57.2573210524142,3.13660457367863,39.8,40.5018771943793,45.87,34.7280706383957,111.334239576252,15681.6152732118,5375.75151158851,39.7999398034271,37.7716889290199,1.92048536391652,86.2262960544622,0.899143734041633,4.13542710004244,,30.4088592749427,24.5255368392648,43.245425579392,21.7434172971739,38.2267335056201,81.4721590850121,1.78476611555666,19.858143662235,25.9990659152474,1.57206144493442,4.63112136551369,428388010276.594,48284.8001841043,9.16224416666667,111.202546132284,27.0,5.466,8872109.0,84.0400009155273,9.01857207882967,,,,2.2114024948131097,7.347625391260592,0,10.784892804369,,,,0,,,,,,,,,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,429.2387336138862,0.0
SWE,2001,6.17157591368188,7.51256723790645,5.72,51.5679167414319,2.6361830748003,37.4,38.0106007366646,50.91,33.8603126919706,116.812267396501,16020.9803101633,5701.68206771918,89.5337407266886,44.47086056123,22.4286821236818,88.3008648169117,2.40595834145438,3.06097434931146,,28.5153530204601,24.7267628665785,42.8995075024433,22.1805552893982,37.6696753093281,80.5691828117714,1.79177126650442,18.9690208816409,25.6798590217759,2.58975394667067,1.36080642694121,434217541852.683,48810.644590655,10.3291358333333,101.929246430584,26.5,4.73,8895960.0,84.0827152824223,8.71239670285618,-2.3999999999999986,-0.50042149887833,-0.8677579464251011,2.174206362137215,7.01950682681094,0,10.795724182037297,1.0654788268924988,2.312461869680268,-9.273299701699997,0,39.8,,40.5018771943793,,1.92048536391652,,,,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,403.76008440819487,0.0
SWE,2002,4.65738421384444,6.87493521047709,5.74,48.5089924012676,3.26075578423689,35.9,38.3978448691625,45.63,37.2905104617541,117.088355771401,15709.4296690248,5826.34189342548,89.6184730222464,46.3189480634564,8.25757092878259,90.2068232098234,2.15848213589264,4.10242132523834,,27.5385098180206,25.4018261314798,41.1616688311214,21.6669413046726,35.9236498661188,77.0853186972402,1.75199842361626,18.6122752817728,25.4557550490181,1.6234768156655,2.27772867861897,444107839331.056,49760.2161636006,9.73712333333333,104.661340455646,26.2,4.965,8924958.0,84.1342508376823,8.6499600393691,-1.5,0.62457270943659,3.430197769783504,2.2040362954899275,6.667849263531594,0,10.814991167701223,0.8080499101549273,1.6869184603788494,2.732094025061997,0,37.4,39.8,38.0106007366646,40.5018771943793,22.4286821236818,1.92048536391652,-2.3999999999999986,,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,388.25818292047387,0.0
SWE,2003,5.85859579947661,1.79831756030611,5.49,43.4067647688593,3.83264543662367,34.6,44.9097819511297,44.18,36.3538217470206,112.389242634081,15360.1788925021,5676.54834518443,89.9093806567681,46.6083267626906,4.41188177928152,91.9438957260577,1.92565534892391,3.11216223245068,,27.5917021111197,25.7330801322272,40.3360837488571,21.0990556783309,34.9921337375667,75.3282174864238,1.71155063466856,17.8650778667437,24.8945920833935,1.84783029110962,1.88102769675844,452461630792.349,50507.9330738641,8.08630416666667,111.623412111781,25.3,5.555,8958229.0,84.1954289653543,9.58313220344024,-1.2999999999999972,0.5718896523867798,-0.9366887147334992,2.4655470291170207,7.218802668218981,0,10.829905492171573,0.24018872776879152,0.45984567233677676,6.962071656134995,0,35.9,37.4,38.3978448691625,38.0106007366646,8.25757092878259,22.4286821236818,-1.5,-2.3999999999999986,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,374.71473002913643,0.0
SWE,2004,5.9556796683309,4.38300602347958,5.46,44.9731181378429,5.31396881466739,35.5,38.5714679773194,48.6,34.6799932864759,112.053145450634,15420.9731416948,5872.97554411383,91.6350257927676,46.0550759982534,3.36975669575135,92.2874531293479,0.373659828721813,3.75233788796579,,27.9920353462473,25.0585813234744,42.7189306670309,21.3471687403972,36.0169512517047,78.7358819187356,1.68061695988586,17.1592852901607,24.7464778664862,0.414604741243238,4.17958419343711,471372645594.314,52412.411275873,7.34888666666667,112.184143022964,26.1,6.693,8993531.0,84.2670710494849,9.70928152046424,0.8999999999999986,1.4813233780437196,-1.673828460544705,2.1060021515616394,7.64468843311034,0,10.866917777941238,0.9702653482108345,1.228670557735542,0.5607309111830006,0,34.6,35.9,44.9097819511297,38.3978448691625,4.41188177928152,8.25757092878259,-1.2999999999999972,-1.5,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,385.77558111691394,0.0
SWE,2005,6.02094308319674,5.30592267942897,5.18,51.3158456149209,5.3196957742923,39.3,39.4564038962862,49.35,33.8084613343195,106.438722887918,15430.9639482359,5711.64214196537,99.2676436656148,51.7922181032801,16.4819325245292,92.705672967515,0.453170852576182,2.7465308895004,,29.2399680642487,24.9303156303092,45.3316169745966,21.5097260897802,38.8363060434344,84.167923018031,1.1603186332537,16.9320292559906,24.5818510778658,0.764472633479315,2.79313782840156,484538733271.146,53661.3178643623,7.47308833333333,107.184353880162,26.8,7.81,9029572.0,84.3499984741211,11.7075179143355,3.799999999999997,0.005726959624910322,-0.8715319521563956,2.043841721827625,9.853974665460093,0,10.89046631843178,0.8739968239479063,1.157406611336313,-4.999789142801987,0,35.5,34.6,38.5714679773194,44.9097819511297,3.36975669575135,4.41188177928152,0.8999999999999986,-1.2999999999999972,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,427.9953263143689,0.0
SWE,2006,8.15775334805554,5.21921287841886,4.82,49.6463574496569,6.51588386233056,40.1,39.7943388512261,45.99,33.3903321065287,99.0549341120865,15262.5872679989,5532.76265714386,102.722214185153,55.9343884312393,15.0215300021636,93.9666691462309,1.3602146862768,1.89888281128576,,29.1533373386808,24.6622051843481,47.5983472649069,22.5576014619411,40.731913626917,88.3302608918239,1.24032116770527,16.8396846318154,24.8427345125051,1.7459961021776,4.67607488877992,507196127304.05,55855.4978279347,7.37824916666666,106.388014235391,26.4,7.066,9080505.0,84.4553200620359,12.3831800772666,0.8000000000000043,1.1961880880382605,-0.4181292277908,1.918087132629098,10.938095268953948,0,10.930541142008027,0.548078614515293,0.9758917722634156,-0.7963396447710096,0,39.3,35.5,39.4564038962862,38.5714679773194,16.4819325245292,3.36975669575135,3.799999999999997,0.8999999999999986,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,438.31469979452186,0.0
SWE,2007,8.14767813080376,9.41612400200535,4.64,52.0588361692698,7.56440284175609,41.8,38.2973061041952,47.08,32.4980777330026,95.4810534996916,15257.9357531603,5464.45613719356,111.25228893146,62.434472024842,18.5897781453118,96.0453705157769,2.21216883436735,,,29.0862842245259,24.2059275965503,47.7240209109834,23.5097905127659,41.8229027500389,89.5469236610223,1.43883024091711,16.8640469063006,25.0247348009667,2.92416926511069,3.22486814096095,523552533625.666,57230.7901610156,6.75877,107.770238785564,27.1,6.161,9148092.0,84.5906875454778,11.0806720014448,1.6999999999999957,1.0485189794255296,-0.8922543735261002,1.776995003234657,9.922400898262048,0,10.954864795029533,0.8796427576624887,0.9863944495859861,1.3822245501730066,0,40.1,39.3,39.7943388512261,39.4564038962862,15.0215300021636,16.4819325245292,0.8000000000000043,3.799999999999997,Pre_Crisis,0,Green_Leaders,0,1,0,0.0,457.91334843223444,0.0
SWE,2008,7.92884141266609,8.05196630424181,4.63,54.3532305149362,8.22424985670297,43.2,40.0701577104912,46.45,33.0892332801611,95.6901605968683,14869.3489776224,5383.76479707233,118.417228475241,62.6244555736609,2.71906858795869,99.3464970644714,3.43704910602874,,,28.2612586025479,24.7855683275877,49.0140992896845,23.9954149226696,43.7942694198751,92.8083687095596,1.259569565252,15.5566555705358,24.1454500212714,3.36159475609104,-0.923113250067971,518719550816.701,56262.4700751994,6.59109916666667,105.197771417184,28.1,6.235,9219637.0,84.7517366727063,14.4469132155572,1.4000000000000057,0.6598470149468803,0.5911555471585004,1.8552483019957426,13.40794448424442,0,10.937800759402325,1.0439826592924768,2.90581768352881,-2.5724673683800034,0,41.8,40.1,38.2973061041952,39.7943388512261,18.5897781453118,15.0215300021636,1.6999999999999957,0.8000000000000043,Financial_Crisis,0,Green_Leaders,0,1,0,0.0,472.5129928061805,0.0
SWE,2009,5.96764869542421,2.06323507354771,4.43,58.4595604636706,10.2078326690313,45.7,39.4899565134968,43.54,31.930431160513,91.5798959555132,14143.0110076717,4891.39219246248,124.563322488407,64.2233543463187,0.505098058416057,98.8552678342659,-0.494460544377991,,,27.7335908439338,26.1322419215826,43.4591254566978,22.0664924860152,38.4991885106953,81.958313967393,1.13933399215134,13.7785619416781,22.3348931376132,2.35893323451421,-4.25561384207619,496644849810.59,53411.2005853182,7.65381916666667,94.8010985350473,27.3,8.351,9298515.0,84.9341031919813,11.5813228773992,2.5,1.9835828123283292,-1.1588021196481044,1.749405073547908,9.491856965436348,0,10.885794474232252,2.011754723495301,3.747641936707237,-10.396672882136698,0,43.2,41.8,40.0701577104912,38.2973061041952,2.71906858795869,18.5897781453118,1.4000000000000057,1.6999999999999957,Financial_Crisis,0,Green_Leaders,0,1,0,0.0,497.48080747241397,0.0
