Country_Code,Year,Current_Account_Balance_Pct_GDP,FDI_Net_Inflows_Pct_GDP,Energy_Intensity_Primary_MJ_Per_GDP,Renewable_Electricity_Output_Pct,Renewable_Electricity_NoHydro_Pct,Renewable_Energy_Consumption_Pct,Energy_Imports_Net_Pct,Alternative_Nuclear_Energy_Pct,Fossil_Fuel_Consumption_Pct,Energy_Use_Per_GDP_PPP,Electric_Power_Consumption_Per_Capita,Energy_Use_Per_Capita_KgOE,Domestic_Credit_Private_Pct_GDP,Broad_Money_Pct_GDP,Broad_Money_Growth_Pct,CPI_Index,Inflation_CPI_Pct,Real_Interest_Rate_Pct,Central_Gov_Debt_Pct_GDP,Tax_Revenue_Pct_GDP,Gov_Expenditure_Pct_GDP,Exports_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP,Imports_Pct_GDP,Trade_Pct_GDP,Agriculture_Value_Added_Pct_GDP,Manufacturing_Value_Added_Pct_GDP,Industry_Value_Added_Pct_GDP,GDP_Deflator_Growth_Pct,GDP_Growth_Pct,GDP_Total_PPP,GDP_Per_Capita_PPP,Official_Exchange_Rate_LCU_Per_USD,Real_Effective_Exchange_Rate_Index,Gini_Index,Unemployment_Rate_Pct,Population_Total,Urban_Population_Pct,Fuel_Imports_Pct_Merchandise,Green_Transition_Speed,Modern_Renewables_Growth,Fossil_Reduction_Rate,Energy_Vulnerability_Index,Fuel_Import_Exposure,Is_Energy_Importer,Log_GDP_Per_Capita,Inflation_Volatility_3Y,GDP_Growth_Volatility_3Y,REER_Change,CA_Deficit_Dummy,Renewable_Energy_Consumption_Pct_Lag1,Renewable_Energy_Consumption_Pct_Lag2,Energy_Imports_Net_Pct_Lag1,Energy_Imports_Net_Pct_Lag2,Broad_Money_Growth_Pct_Lag1,Broad_Money_Growth_Pct_Lag2,Green_Transition_Speed_Lag1,Green_Transition_Speed_Lag2,Period,Post_2020,Country_Group,Is_Turkey,Is_Green_Leader,Is_Turkey_Peer,Green_X_Importer,Green_X_Development,Green_X_Post2020,Comparison_Type
MEX,2021,-0.346548814054211,2.69815759577186,2.99,24.3857273439152,13.9554574985336,13.0,15.3117558234424,7.04,0.0,68.2160281676931,2294.2518523653,1417.70559078908,26.1189526428014,42.9909357278249,9.50768951064234,154.676672089174,5.68920847683753,0.386354456627097,44.8609557938384,13.4112621210704,11.4047335559142,40.5691932010194,21.3097325586115,42.5001044347701,83.0692976357895,3.78266528758294,20.8358358575225,31.9695289853652,4.48797272739507,6.0484834621255,2652858835882.47,20782.5877417545,20.2724083333333,81.6434355166191,44.05,4.019,127648148.0,78.9324007418057,8.3697474797823,0.6999999999999993,1.3656157517749996,0.0,0.4578214991209278,6.9526904453443485,0,9.941918903347727,1.2601577512719375,7.214617656582141,4.547704953967909,0,12.3,10.3,10.8895496628123,18.2994397147,13.4400142059953,4.70005425172458,2.0,0.0,Pandemic,1,Turkey_Peers,0,0,1,0.0,129.24494574352045,13.0,Peer
MEX,2022,-1.28978094141973,2.66330591504867,3.0,,,13.0,21.1050764879457,6.88,0.0,71.3231738043422,2371.96646124361,1525.73516114419,25.9949759148898,41.7086955460845,7.32427911846193,166.890369321443,7.8962761916855,1.41798509602471,43.9694401399305,13.4041093602603,11.1310457406985,42.9322902133702,22.423757875055,45.8661953733484,88.7984855867186,3.89806570970786,21.4864702087066,33.1638305245733,6.66664947468669,3.70975709163623,2751273454677.72,21391.8573692427,20.12735,86.0234870310712,43.5,3.256,128613117.0,79.199683215791,10.1171745389913,0.0,,0.0,0.633152294638371,8.983897774789353,0,9.970812377504679,2.249855793946489,7.729135749178089,4.3800515144520915,0,13.0,12.3,15.3117558234424,10.8895496628123,9.50768951064234,13.4400142059953,0.6999999999999993,2.0,Energy_Crisis,1,Turkey_Peers,0,0,1,0.0,129.62056090756082,13.0,Peer
MEX,2023,-0.700390860917119,1.72496522551661,3.0,,,13.0,21.5843559520399,5.94,0.0,71.1672334516844,2608.52187955737,1559.78994657193,25.2775227197383,42.8093263119322,11.0177381844607,176.116003638578,5.52796087314389,6.62929489524065,45.0297603114434,14.1935866614195,11.1313196484459,36.0693951643755,23.8672177083065,37.509466472149,73.5788616365245,3.83754974792513,20.4180224277552,32.6059323521063,4.65385406168295,3.35354140652768,2843538549187.14,21917.24858366,17.7587166666667,100.03683857838,,2.765,129739759.0,79.4734935748046,7.17764732027671,0.0,,0.0,0.647530678561197,5.2812311905441085,0,9.995074837489272,1.3232577309844098,1.4639696794087629,14.013351547308801,0,13.0,13.0,21.1050764879457,15.3117558234424,7.32427911846193,9.50768951064234,0.0,0.6999999999999993,Energy_Crisis,1,Turkey_Peers,0,0,1,0.0,129.93597288736052,13.0,Peer
POL,2000,-5.98021918224644,5.39740366105294,5.95,2.99068767908309,0.155664536037029,6.9,10.7816243395491,0.21,96.1618342970366,125.05289701614,3256.18045539478,2321.77643337011,26.3093425510431,40.2095026028744,11.5569243117687,76.0476059850374,9.90017538843064,,,16.8889497903998,17.9874386199245,27.0732197283645,23.8127420447032,33.5375012139652,60.6107209423297,3.19050007383569,15.9250946892848,28.7718397326483,6.05771219530757,4.65633252988236,710323273628.646,18566.3546288772,4.346075,91.6896331370876,33.0,14.928,38258629.0,61.7459160613903,11.0005750572273,,,,0.6415066482031715,6.667527849987564,0,9.829160190180755,,,,1,,,,,,,,,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,67.82120531224722,0.0,Peer
POL,2001,-3.09972932809545,2.95949603020482,5.92,3.21255905944402,0.314525876277332,7.3,10.5079731950443,0.23,95.9112338969273,124.365323791634,3260.03326284961,2338.14293839845,23.4444853693788,44.1113845193906,14.6129553731936,80.160515622708,5.40833545566148,,,15.9791418620791,18.5515181999351,27.0572580080351,20.5657674406759,30.8212732632544,57.8785312712895,3.32495017859303,14.4024296292523,27.3505198617098,3.20159779959089,1.23374464400356,719086848972.15,18800.6018648402,4.0939,103.182433521695,32.8,18.435,38248076.0,61.7557708646056,10.2699545541635,0.39999999999999947,0.15886134024030296,-0.25060040010930607,0.6220720131466225,5.944098858178742,0,9.841697350764857,3.1762104764655983,2.420135103311829,11.492800384607406,1,6.9,,10.7816243395491,,11.5569243117687,,,,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,71.84439066058346,0.0,Peer
POL,2002,-2.77624121851834,2.04862965818155,5.77,3.04872125778832,0.338592620346086,7.5,11.4914715396506,0.23,95.9366825717253,120.655564071735,3208.39215655912,2312.5947846893,12.8263811429133,41.6675909470273,-1.99707456599409,81.6877996186006,1.90528215048055,,,16.7881339290098,18.563380627424,28.6233983013403,18.5432520005891,32.1734007560509,60.7967990573911,2.80941626982179,14.1375374343365,26.6547204084638,1.81506961191238,1.90119437968586,732758087729.869,19166.9137058143,4.08003333333333,98.8638951169721,34.1,20.211,38230364.0,61.7581534555696,9.28008193365973,0.20000000000000018,0.02406674406875403,0.025448674797999615,0.6630579078378396,5.64199276556836,0,9.860992998912883,4.007624531788932,1.8143126895556017,-4.318538404722901,0,7.3,6.9,10.5079731950443,10.7816243395491,14.6129553731936,11.5569243117687,0.39999999999999947,,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,73.95744749184662,0.0,Peer
POL,2003,-2.50410381576022,2.45743497066474,5.72,2.55356754225719,0.381848038989389,7.3,13.3597151479885,0.18,96.2313322597413,119.634145217423,3324.47139177329,2375.41153801546,13.2864220159741,42.0846319004331,5.36949000194597,82.2454833504475,0.682701375787681,,,16.6652745114418,18.8451542998185,33.2386667780391,18.2509197048003,35.9747812061398,69.2134479841788,2.69176153910407,15.3918642448656,27.5111441045363,0.774657560908707,3.52337117234833,758575874955.994,19855.6317989181,3.889075,88.4522997855295,34.9,19.899,38204570.0,61.7281374379602,9.23247783531416,-0.20000000000000018,0.04325541864330301,0.2946496880159941,0.7641757064649422,6.390116244196004,0,9.896293325981189,2.452811436782027,1.1775211488274286,-10.411595331442598,0,7.5,7.3,11.4914715396506,10.5079731950443,-1.99707456599409,14.6129553731936,0.20000000000000018,0.39999999999999947,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,72.24294127966267,0.0,Peer
POL,2004,-5.96912639653316,5.41150845702569,5.47,3.12408617077174,0.729804941651152,7.3,14.7708202836035,0.22,95.9495764200299,114.173085785547,3416.11863238342,2383.78041134423,26.1535047618844,39.6089355078579,3.78793913645125,85.0275575766466,3.38264681884691,,,15.6185755633767,18.2343847850137,34.0621696099277,18.5995674990585,36.9194069594885,70.9815765694162,3.33358582113835,16.5919693942106,29.185278751871,4.9331164049614,5.09079546409544,797193421189.976,20878.6545002534,3.65764166666667,87.4847121021729,38.0,18.822,38182222.0,61.6555172559989,9.21799066745481,0.0,0.34795690266176293,-0.2817558397113942,0.8079638695131115,6.543075103781076,0,9.946530494936944,1.3519748216024636,1.5948788634605036,-0.967587683356598,1,7.3,7.5,13.3597151479885,11.4914715396506,5.36949000194597,-1.99707456599409,-0.20000000000000018,0.20000000000000018,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,72.60967261303969,0.0,Peer
POL,2005,-3.30488692842897,3.59641795552772,5.35,3.45679130346128,1.04944053626956,7.2,17.8139503054584,0.23,95.9891454308751,111.933248203853,3437.32399818737,2414.28237185953,27.0355272814769,43.0005043828961,15.0432299943437,86.884388293971,2.18379872390258,,,16.4279824784832,18.2841316711182,34.5254622754817,19.1151050092974,35.7860168147767,70.3114790902584,2.96760371813755,16.3645570843648,29.058898029081,2.62309460808356,3.26082274679216,823188485604.069,21568.9476594356,3.23548333333333,97.2160934635818,35.8,17.592,38165445.0,61.5497010774856,11.3720189823049,-0.09999999999999964,0.31963559461840807,0.039569010845198704,0.9530463413420243,7.995834748883526,0,9.97905631283578,1.3527894267503628,0.9894906713553283,9.731381361408893,1,7.3,7.3,14.7708202836035,13.3597151479885,3.78793913645125,5.36949000194597,0.0,-0.20000000000000018,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,71.84920545241762,0.0,Peer
POL,2006,-4.64906335604984,6.20790606582043,5.29,3.26176874281263,1.39459756896786,7.2,20.2848246140246,0.22,95.7530399962097,110.760404817873,3584.96218806785,2538.76112384258,31.0965878653779,46.1449167345988,15.9643286094573,88.0005867683732,1.28469394366408,,,17.0920694072435,18.4712705252125,37.6580412251077,20.6873646209386,40.0427623151275,77.7008035402352,2.7459182485152,16.532432747176,29.2021893560033,1.75153451356896,6.20210710934373,874243517193.018,22921.1975887696,3.10315833333333,99.1297046148727,34.7,13.794,38141267.0,61.4199688499096,10.3607043155424,0.0,0.3451570326983,-0.23610543466540435,1.0730672220819013,8.05035050560427,0,10.039861047068772,1.0525391858965947,1.4852029839009218,1.913611151290894,1,7.2,7.3,17.8139503054584,14.7708202836035,15.0432299943437,3.78793913645125,-0.09999999999999964,0.0,Pre_Crisis,0,Turkey_Peers,0,0,1,0.0,72.28699953889516,0.0,Peer
